step 0	, total energy: 10867780.30
step 10000	, total energy: 4163193.00
step 20000	, total energy: 3201864.47
step 30000	, total energy: 2786285.42
step 40000	, total energy: 2551287.29
step 50000	, total energy: 2394921.91
step 60000	, total energy: 2277175.86
step 70000	, total energy: 2185853.34
step 80000	, total energy: 2134988.34
step 90000	, total energy: 2083925.85
step 100000	, total energy: 2061601.32
step 110000	, total energy: 2035445.46
step 120000	, total energy: 2006885.54
step 130000	, total energy: 1990408.26
step 140000	, total energy: 1975411.16
step 150000	, total energy: 1966304.57
step 160000	, total energy: 1956576.50
step 170000	, total energy: 1955690.62
step 180000	, total energy: 1932640.60
step 190000	, total energy: 1928647.25
step 200000	, total energy: 1920653.94
step 210000	, total energy: 1923093.99
step 220000	, total energy: 1932703.51
step 230000	, total energy: 1924798.42
step 240000	, total energy: 1924777.89
step 250000	, total energy: 1919096.21
step 260000	, total energy: 1919867.05
step 270000	, total energy: 1913022.98
step 280000	, total energy: 1916224.73
step 290000	, total energy: 1917113.84
step 300000	, total energy: 1911680.24
step 310000	, total energy: 1908481.75
step 320000	, total energy: 1915059.45
step 330000	, total energy: 1911475.56
step 340000	, total energy: 1905783.40
step 350000	, total energy: 1917303.22
step 360000	, total energy: 1905378.07
step 370000	, total energy: 1904664.72
step 380000	, total energy: 1905075.10
step 390000	, total energy: 1911550.21
step 400000	, total energy: 1908434.19
step 410000	, total energy: 1913012.64
step 420000	, total energy: 1908215.86
step 430000	, total energy: 1898471.88
step 440000	, total energy: 1898090.11
step 450000	, total energy: 1897479.74
step 460000	, total energy: 1902410.70
step 470000	, total energy: 1900692.48
step 480000	, total energy: 1918112.35
step 490000	, total energy: 1919333.21
step 500000	, total energy: 1906769.78
step 510000	, total energy: 1904387.60
step 520000	, total energy: 1920307.21
step 530000	, total energy: 1924499.71
step 540000	, total energy: 1924432.66
step 550000	, total energy: 1919975.52
step 560000	, total energy: 1907399.98
step 570000	, total energy: 1911263.83
step 580000	, total energy: 1915930.00
step 590000	, total energy: 1914884.27
step 600000	, total energy: 1923816.58
step 610000	, total energy: 1918299.96
step 620000	, total energy: 1903934.99
step 630000	, total energy: 1902913.27
step 640000	, total energy: 1900681.93
step 650000	, total energy: 1904301.81
step 660000	, total energy: 1893527.88
step 670000	, total energy: 1885215.74
step 680000	, total energy: 1882910.72
step 690000	, total energy: 1885643.94
step 700000	, total energy: 1890315.93
step 710000	, total energy: 1890320.58
step 720000	, total energy: 1889179.58
step 730000	, total energy: 1889087.51
step 740000	, total energy: 1893132.26
step 750000	, total energy: 1890300.45
step 760000	, total energy: 1888270.73
step 770000	, total energy: 1892934.86
step 780000	, total energy: 1896592.92
step 790000	, total energy: 1902310.02
step 800000	, total energy: 1894976.41
step 810000	, total energy: 1894330.53
step 820000	, total energy: 1888816.75
step 830000	, total energy: 1898763.87
step 840000	, total energy: 1891762.27
step 850000	, total energy: 1895970.42
step 860000	, total energy: 1895844.98
step 870000	, total energy: 1893006.29
step 880000	, total energy: 1896314.93
step 890000	, total energy: 1902932.94
step 900000	, total energy: 1900710.50
step 910000	, total energy: 1905452.21
step 920000	, total energy: 1907924.87
